[224, 224]_40_8-0.001epoch, loss,acc,precision, recall, f1, auc, kapa, mse, w_mse,              precision_cl, recall_c, f1_c, auc_c, mse_c, isSave,Tue Mar 11 12:02:30 2025
 0.04613458 0.22727342],save state!
34,0.0,tensor(0.8421, device='cuda:0'),0.1752137166788873,0.09593023255813954,0.11891678025788675,0.7954984784256146,-1,0.11073927,0.062152952,[0.40186916 0.         0.         0.26923077 0.         0.
 0.64285714 0.        ],[0.19724771 0.         0.         0.41176471 0.         0.
 0.24324324 0.        ],[0.26461538 0.         0.         0.3255814  0.         0.
 0.35294118 0.        ],[0.55438144 0.55842862 0.65602045 0.82975842 0.61694291 0.64187426
 0.90820821 0.52766751],[0.23672803 0.13886641 0.07988422 0.07398076 0.0550541  0.02432765
 0.04800949 0.22906351],save state!
36,0.0,tensor(0.8516, device='cuda:0'),0.21592010218463709,0.04941860465116279,0.07999024214692092,0.8114677938355517,-1,0.10536906,0.05619239,[0.43181818 0.         0.         0.875      0.         0.
 0.66666667 0.        ],[0.08715596 0.         0.         0.20588235 0.         0.
 0.21621622 0.        ],[0.14503817 0.         0.         0.33333333 0.         0.
 0.32653061 0.        ],[0.54863152 0.56639813 0.6764367  0.86193262 0.63638826 0.61328588
 0.92237237 0.52847465],[0.2348327  0.13852726 0.0789871  0.04098867 0.0548821  0.0241493
 0.04384197 0.22674339],save state!
38,0.0,tensor(0.8488, device='cuda:0'),0.18359711455641686,0.05813953488372093,0.08634554000491074,0.8062619890588737,-1,0.106796905,0.05761722,[0.40740741 0.         0.         0.45       0.         0.
 0.6        0.        ],[0.10091743 0.         0.         0.26470588 0.         0.
 0.24324324 0.        ],[0.16176471 0.         0.         0.33333333 0.         0.
 0.34615385 0.        ],[0.54759653 0.56269491 0.6697033  0.85694941 0.64554219 0.63867141
 0.92017017 0.52455806],[0.23508711 0.13952513 0.07965044 0.04797477 0.05480362 0.02417503
 0.04524309 0.22791603],save state!
